frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
77,0.077,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00077.png,0.0,-0.25,1.5,-0.010239106093582015,0.01925361123237047,-0.5866575651489327,1.1031506640005038,-0.5866575651489327,1.1031506640005038,-0.0011533061686586777,-0.13368376658371905
78,0.078,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00078.png,0.0,-0.25,1.5,-0.00971431156796438,0.019086993326279885,-0.5565890537194722,1.093604161190206,-0.5565890537194722,1.093604161190206,0.030068511429460584,-0.009546502810297583
79,0.079,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00079.png,0.0,-0.25,1.5,-0.011783783028309028,0.015319857950514267,-0.6751610342199955,0.8777632033044067,-0.6751610342199955,0.8777632033044067,-0.1185719805005234,-0.2158409578857994
80,0.08,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00080.png,0.0,-0.25,1.5,-0.01088833813124962,0.014852414035229295,-0.623855820831965,0.850980639799507,-0.623855820831965,0.850980639799507,0.0513052133880305,-0.02678256350489973
81,0.081,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00081.png,0.0,-0.25,1.5,-0.01181337731864237,0.014481463210100685,-0.6768566621537808,0.8297267231127422,-0.6768566621537808,0.8297267231127422,-0.053000841321815845,-0.02125391668676478
82,0.082,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00082.png,0.0,-0.25,1.5,-0.008643028723478587,0.014403236030830971,-0.49520906806566645,0.8252446358973743,-0.49520906806566645,0.8252446358973743,0.1816475940881144,-0.004482087215367887
83,0.083,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00083.png,0.0,-0.25,1.5,-0.008491849589998494,0.01206734742946851,-0.48654714176681224,0.6914080776265885,-0.48654714176681224,0.6914080776265885,0.008661926298854213,-0.1338365582707858
84,0.084,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00084.png,0.0,-0.25,1.5,-0.005616700529534165,0.013508534183741264,-0.32181323513120225,0.7739819961365749,-0.32181323513120225,0.7739819961365749,0.16473390663561,0.08257391850998648
85,0.085,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00085.png,0.0,-0.25,1.5,-0.0037545478961773467,0.013583418334816851,-0.21511974843068435,0.7782725419456261,-0.21511974843068435,0.7782725419456261,0.1066934867005179,0.0042905458090511635
86,0.08600000000000001,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00086.png,0.0,-0.25,1.5,-0.002154683479261095,0.014166100260819343,-0.12345426954822478,0.811657757104123,-0.12345426954822478,0.811657757104123,0.09166547888245957,0.03338521515849691
